No,Noun (singular),Gender,Article,Full word,Plural,Meanning  ,Example,Check 1,Check 2,Check 3,,
,Insel,M,der,der Insel,,island,,TRUE,FALSE,FALSE,,
,Fluss,M,der,der Fluss,,river,Ich gehe den Fluss entlang,FALSE,FALSE,FALSE,,No Plural
,Kühlschrank,M,der,der Kühlschrank,,fridge,,TRUE,FALSE,FALSE,,
,Messer,N,das,das Messer,,Bread knife ,,FALSE,FALSE,FALSE,,
,Glas,N,das,das Glas,,Glass,,TRUE,FALSE,FALSE,,
,Toaster,M,der,der Toaster,,Toaster,,TRUE,FALSE,FALSE,,
,Tasser,F,die,die Tasser,,Cup,,TRUE,FALSE,FALSE,,
,Kühlschrank,M,der,der Kühlschrank,,fridge,,TRUE,FALSE,FALSE,,
,Gemüse,F,die,die Gemüse,-,Vegetable,,FALSE,FALSE,FALSE,,
,Obst,F,die,die Obst,- ,Fruit,,FALSE,FALSE,FALSE,,
,mogen,-,, mogen,,tomorrow ,Ich gehe morgen nach Berlin.,FALSE,FALSE,FALSE,,
,morgens,-,, morgens,,in the mornings,Ich trinke morgens Kaffee,FALSE,FALSE,FALSE,,
,Morgen ,M,der,der Morgen ,,morning,Der Morgen ist kalt.,FALSE,FALSE,FALSE,,
,Kleid,N,das,das Kleid,,dress,,FALSE,FALSE,FALSE,,
,Kleidung,F,die,die Kleidung,-,Clothes,,FALSE,FALSE,FALSE,,
,Pullower,M,der,der Pullower,Pullower,sweater,,FALSE,FALSE,FALSE,,
,Mantel,M,der,der Mantel,Mäntel,Coat,,FALSE,FALSE,FALSE,,
,Anzug,M,der,der Anzug,Anzüge,suit,,FALSE,FALSE,FALSE,,
,Schuh,M,der,der Schuh,Schuhe,Shoe,,FALSE,FALSE,FALSE,,
,Handschuh,M,der,der Handschuh,Handschuhe,Glove,,FALSE,FALSE,FALSE,,
,Anschreiben ,,, Anschreiben ,,cover letter,,FALSE,FALSE,FALSE,,
,Lebenslauf,,, Lebenslauf,,"CV, curriculum vitae",,FALSE,FALSE,FALSE,,
,Hund,M,der,der Hund,Hunde,Dog,Der Hund ist nett ,FALSE,FALSE,FALSE,,
,Katze,F,die,die Katze,,Cat,,FALSE,FALSE,FALSE,,
